County,Counts,State
Jackson,279,GA
Macon-Bibb County,277,GA
Walton,248,GA
Hall,237,GA
Butts,224,GA
Rockdale,211,GA
Monroe,208,GA
Spalding,206,GA
Troup,198,GA
Newton,180,GA
Muscogee,179,GA
Peach,165,GA
Fayette,163,GA
Lowndes,155,GA
Whitfield,129,GA
Barrow,129,GA
Haralson,111,GA
Morgan,111,GA
Greene,111,GA
Bryan,110,GA
Liberty,107,GA
Franklin,107,GA
Glynn,107,GA
Columbia,103,GA
Bulloch,100,GA
Catoosa,100,GA
Dekalb,99,GA
Forsyth,98,GA
Habersham,94,GA
Gordon,91,GA
Gilmer,83,GA
Twiggs,83,GA
Meriwether,83,GA
Dougherty,79,GA
Camden,76,GA
Banks,76,GA
Polk,68,GA
Effingham,68,GA
Clarke,65,GA
Tift,65,GA
Treutlen,63,GA
Harris,62,GA
Dooly,61,GA
Heard,57,GA
Chattooga,57,GA
Floyd,56,GA
Baldwin,55,GA
Laurens,54,GA
Pickens,53,GA
Paulding,51,GA
Cook,46,GA
McDuffie,45,GA
Warren,44,GA
McIntosh,44,GA
Dade,44,GA
Dawson,43,GA
Lee,42,GA
Brooks,41,GA
Pike,41,GA
Worth,40,GA
Lamar,36,GA
Stephens,35,GA
Elbert,35,GA
Jones,34,GA
Oconee,32,GA
Bleckley,32,GA
Burke,30,GA
Crisp,30,GA
Wilkes,29,GA
Jefferson,29,GA
Colquitt,28,GA
Emanuel,27,GA
Decatur,27,GA
Upson,26,GA
Candler,25,GA
Hart,24,GA
Talbot,24,GA
Crawford,23,GA
Toombs,23,GA
Walker,23,GA
Ware,23,GA
Taliaferro,22,GA
Dodge,22,GA
Mitchell,22,GA
Chattahoochee,21,GA
White,21,GA
Sumter,21,GA
Macon,21,GA
Putnam,21,GA
Oglethorpe,20,GA
Irwin,20,GA
Turner,20,GA
Bacon,19,GA
Stewart,18,GA
Thomas,17,GA
Grady,17,GA
Coffee,17,GA
Appling,17,GA
Wilkinson,16,GA
Taylor,16,GA
Miller,16,GA
Charlton,16,GA
Tattnall,16,GA
Terrell,14,GA
Ben Hill,13,GA
Brantley,13,GA
Evans,13,GA
Jasper,13,GA
Murray,12,GA
Rabun,12,GA
Wheeler,12,GA
Montgomery,12,GA
Calhoun,12,GA
Wayne,11,GA
Baker,10,GA
Early,10,GA
Pierce,9,GA
Seminole,9,GA
Jenkins,9,GA
Long,9,GA
Lincoln,8,GA
Berrien,8,GA
Atkinson,8,GA
Randolph,8,GA
Washington,8,GA
Pulaski,8,GA
Jeff Davis,7,GA
Lumpkin,7,GA
Hancock,7,GA
Telfair,6,GA
Clinch,5,GA
Union,5,GA
Madison,5,GA
Fannin,4,GA
Lanier,4,GA
Screven,4,GA
Clay,3,GA
Johnson,3,GA
Webster,3,GA
Echols,2,GA
Mcintosh,2,GA
Schley,2,GA
Glascock,1,GA
Wilcox,1,GA
Mcduffie,1,GA
Quitman,1,GA
