,Unnamed: 0,ID,Start_Time,County,State,Severity,Start_Lat,Start_Lng,Sunrise_Sunset,Weekday,Hour,Month
219694,477925,A-3197961,2020-12-31 03:35:00,Clayton,GA,2,33.641851,-84.453153,Night,3,3,12
221780,482205,A-3202305,2020-10-28 11:15:00,Clayton,GA,2,33.574615,-84.334777,Day,2,11,10
224700,488340,A-3208544,2020-12-15 17:17:00,Clayton,GA,2,33.625169,-84.399987,Day,1,17,12
224701,488341,A-3208545,2020-12-14 07:38:00,Clayton,GA,4,33.629075,-84.40039499999999,Day,0,7,12
224702,488343,A-3208547,2020-12-02 00:09:00,Clayton,GA,2,33.638967,-84.37820699999999,Night,2,0,12
225305,489541,A-3209760,2020-09-16 23:29:00,Clayton,GA,2,33.643035999999995,-84.314135,Night,2,23,9
226943,492929,A-3213198,2020-10-19 02:15:30,Clayton,GA,2,33.591953000000004,-84.38531,Night,0,2,10
227589,494251,A-3214532,2020-10-30 04:42:00,Clayton,GA,2,33.647940999999996,-84.397788,Night,4,4,10
230801,501067,A-3221430,2020-11-16 12:36:30,Clayton,GA,2,33.617096999999994,-84.43861600000001,Day,0,12,11
230884,501244,A-3221610,2020-11-19 04:45:00,Clayton,GA,2,33.625169,-84.399987,Night,3,4,11
231900,503435,A-3223832,2020-12-23 14:48:00,Clayton,GA,2,33.561710999999995,-84.314685,Day,2,14,12
232033,503732,A-3224136,2020-11-18 11:38:00,Clayton,GA,2,33.616157,-84.442666,Day,2,11,11
232189,504020,A-3224424,2020-12-13 03:47:00,Clayton,GA,2,33.610085,-84.396167,Night,6,3,12
232396,504501,A-3224914,2020-11-11 16:59:00,Clayton,GA,2,33.584228,-84.373766,Day,2,16,11
233694,507193,A-3227636,2020-12-08 14:50:00,Clayton,GA,2,33.619655,-84.398914,Day,1,14,12
233695,507194,A-3227637,2020-11-14 18:45:00,Clayton,GA,2,33.619655,-84.398914,Night,5,18,11
234723,509369,A-3229846,2020-09-18 03:34:00,Clayton,GA,2,33.623517,-84.424299,Night,4,3,9
235121,510186,A-3230677,2020-12-02 00:07:00,Clayton,GA,2,33.630126000000004,-84.300595,Night,2,0,12
235256,510448,A-3230939,2020-10-17 12:28:00,Clayton,GA,2,33.629912,-84.400695,Day,5,12,10
235348,510635,A-3231129,2020-11-15 13:53:00,Clayton,GA,2,33.553158,-84.347287,Day,6,13,11
236312,512615,A-3233137,2020-11-18 09:55:00,Clayton,GA,2,33.610098,-84.396165,Day,2,9,11
239316,518871,A-3239477,2020-12-08 05:51:00,Clayton,GA,2,33.646559,-84.39827,Night,1,5,12
239550,519348,A-3239961,2020-10-26 04:48:00,Clayton,GA,2,33.616608,-84.44045600000001,Night,0,4,10
239918,520134,A-3240755,2020-10-19 18:52:00,Clayton,GA,2,33.55657,-84.304909,Day,0,18,10
240054,520462,A-3241092,2020-11-28 03:42:00,Clayton,GA,2,33.648751000000004,-84.445821,Night,5,3,11
240192,520727,A-3241363,2020-11-22 16:24:30,Clayton,GA,2,33.568954999999995,-84.326045,Day,6,16,11
242278,524945,A-3245647,2020-11-10 11:53:00,Clayton,GA,2,33.624025,-84.399842,Day,1,11,11
243297,526992,A-3247728,2020-12-13 16:37:30,Clayton,GA,2,33.615019000000004,-84.397609,Day,6,16,12
244053,528589,A-3249344,2020-11-14 09:19:00,Clayton,GA,2,33.646774,-84.371092,Day,5,9,11
244277,529058,A-3249822,2020-10-24 14:12:00,Clayton,GA,2,33.626543,-84.419342,Day,5,14,10
244933,530489,A-3251273,2020-11-21 19:38:37,Clayton,GA,2,33.583752000000004,-84.372089,Night,5,19,11
244988,530585,A-3251369,2020-12-18 21:55:00,Clayton,GA,2,33.619654,-84.39891,Night,4,21,12
244989,530586,A-3251370,2020-11-12 15:10:00,Clayton,GA,2,33.619655,-84.398914,Day,3,15,11
245085,530780,A-3251568,2020-12-01 13:45:00,Clayton,GA,2,33.561617,-84.31488900000001,Day,1,13,12
245501,531631,A-3252437,2020-11-23 04:43:00,Clayton,GA,2,33.626543,-84.419342,Night,0,4,11
245536,531704,A-3252510,2020-11-26 14:28:30,Clayton,GA,2,33.558608,-84.270168,Day,3,14,11
246758,534183,A-3255024,2020-09-25 01:51:00,Clayton,GA,2,33.563618,-84.27214000000001,Night,4,1,9
246965,534605,A-3255450,2020-12-29 07:48:00,Clayton,GA,2,33.616844,-84.43862,Day,1,7,12
246966,534606,A-3255451,2020-12-04 00:52:00,Clayton,GA,2,33.616157,-84.442666,Night,4,0,12
247384,535452,A-3256312,2020-12-30 08:33:00,Clayton,GA,2,33.616849,-84.44653199999999,Day,2,8,12
247436,535573,A-3256434,2020-12-02 00:09:00,Clayton,GA,2,33.638967,-84.37820699999999,Night,2,0,12
